"cod","ano","mes","dia","at","pl","ll","ebit","deb_cp","deb_lp","rec","vm","pais","setor","pat","debt","dif_ano","l_vm","l_at","ebit_at","pl_at","log_vm","log_at","var_rec","risk","effi","crise","ifrs","ebit_ifrs","pl_ifrs","div_at","cap"
"AUSO.BA",2010,12,31,319619362.559839,28130420.760897,72842501.8896448,15940612.244898,24992071.0506425,160486142.60519,107811917.359536,17640625.2252705,"Argentina","Industrials",291488941.798942,185478213.655832,1,6084874.25797139,358890753.027909,0.0444163359195225,0.0783815702231521,16.6857150515242,19.5826413537504,-0.119307149888092,0.0590893058775013,0.337313473426853,0,0,0,0,0.580309691410223,0.0491531895888627
"AUSO.BA",2011,12,31,275240439.330544,22126225.0116225,-7836399.34913994,28690311.4830312,35002115.2952115,120285334.728033,119725034.867504,10902110.8486947,"Argentina","Industrials",253114214.318922,155287450.023245,1,17640625.2252705,319619362.559839,0.0897639969407667,0.0692267978836233,16.2044669842941,19.4331555984699,0.0562387219732921,0.0446311956427462,0.434983446323172,0,0,0,0,0.564188352558017,0.0341096695812777
"AUSO.BA",2012,12,31,250032398.779247,20209092.5737538,842455.747711089,37955428.2807731,47392903.3570702,86645621.5666328,140645985.757884,9818350.93420195,"Argentina","Industrials",229823306.205493,134038524.923703,1,10902110.8486947,275240439.330544,0.137899170532828,0.0734234134450139,16.0997637369216,19.3371010625468,-0.182536522257308,-0.185026350337611,0.562511044346937,0,1,0.137899170532828,0.0734234134450139,0.536084625745023,0.0356719054732027
"AUSO.BA",2013,12,31,185977515.728096,12550928.3412613,-2690394.35323001,31586449.2864815,43464503.6059537,53570154.9792849,137655987.417523,8474549.34560798,"Argentina","Industrials",173426587.386835,97034658.5852386,1,9818350.93420195,250032398.779247,0.126329425469253,0.0501972080519952,15.9525780352574,19.0411363411882,-0.109027565702332,-0.0308451533912023,0.740175428618907,0,1,0.126329425469253,0.0501972080519952,0.521754784202547,0.0338938049108193
"AUSO.BA",2014,12,31,138593605.53617,11699511.721037,2121937.42535304,30537721.5990258,30596576.192595,29204148.6147865,120812758.483408,17101293.7050654,"Argentina","Industrials",126894093.815133,59800724.8073815,1,8474549.34560798,185977515.728096,0.164201148076807,0.062908205194772,16.6546646738782,18.7470565075531,-0.0437054319046917,-0.062923054184811,0.871705141200605,0,1,0.164201148076807,0.062908205194772,0.43148256787197,0.0919535549128849
"BOLT.BA",2009,10,31,116627640.891219,63062317.1690695,12745460.0262123,22865266.0550459,265504.587155963,9610065.53079948,96044471.8217562,143288282.377641,"Argentina","Industrials",53565323.7221495,9875570.11795544,1,55032585.0832729,107606781.863831,0.212489079768042,0.586044077118397,18.7803691195851,18.5744968611731,0.0162959148642985,0.194707500201798,0.82351380074076,1,0,0,0,0.0846760685759441,1.33159155859677
"BOLT.BA",2010,10,31,155085858.841386,86127149.0007589,22776883.3797116,29875889.1980774,9118221.60384518,641140.905641285,138604343.536555,425371255.97785,"Argentina","Industrials",68958709.8406271,9759362.50948646,1,143288282.377641,116627640.891219,0.256164739077105,0.738479732099627,19.8684728890489,18.859489449531,-0.237011294682961,-0.595037693677046,0.893726511056772,0,0,0,0,0.062928771084589,3.6472593694543
"BOLT.BA",2011,10,31,139060313.223414,90096759.1061558,17460369.9154344,26679593.2347522,13949237.0198895,0,157815120.234327,223738348.171738,"Argentina","Industrials",48963554.1172582,13949237.0198895,1,425371255.97785,155085858.841386,0.172031115113073,0.580947610434954,19.2259878385532,18.7504183050662,-0.943747769424816,0.490761284665915,1.13486814876349,0,0,0,0,0.100310697542286,1.4426740764325
"BOLT.BA",2012,10,31,152214559.580052,95421971.6535433,24210796.8503937,9004233.07086614,10302059.8425197,10022836.7454068,69928776.9028871,98778004.0733197,"Argentina","Industrials",56792587.9265087,20324896.5879265,1,223738348.171738,139060313.223414,0.0647505593950443,0.686191260767826,18.4083855070953,18.840801659658,0.789505465838178,-0.102619215211131,0.459409251623597,0,1,0.0647505593950443,0.686191260767826,0.133527940060407,0.710324907111515
"BOLT.BA",2013,10,31,149955081.933911,90506236.4572048,14830855.5660888,18257986.8634886,11341545.9100758,19487598.1852654,68240330.4442037,93977752.2056003,"Argentina","Industrials",59448845.4767062,30829144.0953412,1,98778004.0733197,152214559.580052,0.119949017451819,0.594596447980432,18.3585686335576,18.8258463534414,-0.168531351022159,-0.122329963492858,0.455071809265384,0,1,0.119949017451819,0.594596447980432,0.205589191761626,0.61740317394655
"BOLT.BA",2014,10,31,127479240.178781,72415214.0672783,11723242.7664079,14247158.3156904,1081139.73182781,0,56264449.5412844,100992950.984754,"Argentina","Industrials",55064026.1115027,1081139.73182781,1,93977752.2056003,149955081.933911,0.0950095063931844,0.482912703813489,18.4305612801398,18.6634640871786,0.189383570254747,-0.914474773173715,0.441361663768762,0,1,0.0950095063931844,0.482912703813489,0.00848090818796523,0.673488018427172
"CADO.BA",2011,12,31,48989809.3909809,31345302.1850302,11816738.7261739,-1019667.59646676,3577.40585774059,0,970139.470013947,61174452.6836979,"Argentina","Consumer Non-Cyclicals",17644507.2059507,3577.40585774059,1,99286834.2310596,27539118.1657848,-0.03702615277397,1.13821009069108,17.9292402205214,17.7071228628332,3.24399170426772,-1.00430870242427,0.0198028831317019,0,0,0,0,7.30234696197695e-05,2.22136570660793
"CAPU.BA",2003,12,31,19185831.6221766,9095482.54620123,-274469.541409993,-1546885.69472964,2773100.61601643,1603696.09856263,14031485.284052,18512744.6791759,"Argentina","Real Estate",10090349.0759754,4376796.71457906,1,9567545.95220854,14986309.5238095,-0.103219921640616,0.606919437487313,16.7339699544419,16.769682628244,-0.494246189520115,-0.540716771262034,0.731346212161751,0,0,0,0,0.228126505056992,1.23531044449361
"CAPU.BA",2004,12,31,18403502.8629168,9732569.88885147,781071.067699562,637251.599865275,2913438.86830583,652071.404513304,21224991.5796565,41570541.6561792,"Argentina","Real Estate",8670932.97406533,3565510.27281913,1,18512744.6791759,19185831.6221766,0.0332146978256958,0.507279021337899,17.5429023411218,16.7280515774452,-0.72864083339326,0.414119390460823,1.15331259150806,0,0,0,0,0.193740849194729,2.16673128769297
"CAPU.BA",2005,12,31,22183828.3828383,10909900.990099,1372937.29372937,1468316.83168317,694059.405940594,1014521.45214521,15493399.339934,27980816.3834584,"Argentina","Real Estate",11273927.3927393,1708580.8580858,1,41570541.6561792,18403502.8629168,0.0797846389690215,0.592816545380746,17.147029704169,16.9148741301695,1.45305105736557,0.261051937998645,0.698409628516595,0,0,0,0,0.0770192064507488,1.52040709814217
"CAPU.BA",2006,12,31,34142871.1608282,15112026.9518857,4299218.26448173,6434762.6991136,126909.36447192,273770.974389167,48361299.1855559,16419624.9287169,"Argentina","Real Estate",19030844.2089425,400680.338861087,1,27980816.3834584,22183828.3828383,0.290065474185313,0.681218168978289,16.613987819384,17.3460643714086,-0.946003917869271,-0.412648720219763,1.41643914355511,0,0,0,0,0.0117354025961585,0.74016191639038
"CAPU.BA",2007,12,31,39874563.3534455,18611305.1762464,3939345.82407113,5505557.31978406,3066370.27627818,204509.36805335,58614480.7875516,27488508.1703107,"Argentina","Real Estate",21263258.1771991,3270879.64433153,1,16419624.9287169,34142871.1608282,0.161250566592669,0.545100764624592,17.1292785905827,17.5012491686255,-0.155845392851707,0.164190526773469,1.46997172779039,0,0,0,0,0.0820292278899375,0.805102419208611
"CAPU.BA",2008,12,31,47774366.4011586,19777552.4981897,2459640.83997104,3735235.33671253,74728.4576393918,116437.36422882,60789572.7733526,22616910.8451792,"Argentina","Real Estate",27996813.9029689,191165.821868212,1,27488508.1703107,39874563.3534455,0.0936746392331284,0.495994208711022,16.9342084519158,17.6819997858605,0.112223474871156,-0.472190608313519,1.27243074796442,1,0,0,0,0.00400143081465494,0.567201467379201
"CAPU.BA",2009,12,31,45279265.4028436,22290394.9447077,4680329.12058978,6062788.30963665,216642.969984202,258288.572933123,70532827.8041074,82952356.5227456,"Argentina","Real Estate",22988870.4581359,474931.542917325,1,22616910.8451792,47774366.4011586,0.126904630377047,0.466576463987749,18.2337769831513,17.6283597682922,-0.098107349817193,0.00417068379492799,1.55772906597725,1,0,0,0,0.0104889409908028,1.73633608923663
"CAPU.BA",2010,12,31,40046933.7364575,21091315.1927438,7801647.7702192,10032554.7996977,236727.135298564,122705.9712774,74190110.8591585,92415780.5376513,"Argentina","Real Estate",18955618.5437137,359433.106575964,1,82952356.5227456,45279265.4028436,0.22157061759813,0.465805153972733,18.3418083070693,17.5055626676603,0.185574540020913,0.956517616027456,1.85257906004469,0,0,0,0,0.00897529655931553,2.04101766482827
"CAPU.BA",2011,12,31,65128247.3268247,24449402.6034403,6985739.19107392,10717029.2887029,1563152.0223152,3279109.71641097,93949558.3449558,171174818.005808,"Argentina","Real Estate",40678844.7233844,4842261.73872617,1,92415780.5376513,40046933.7364575,0.267611731755294,0.610518716971889,18.9581959197654,17.9918689197786,-0.311044953271309,-0.826607536959426,1.44253165409935,0,0,0,0,0.0743496399408212,4.27435516367576
"CAPU.BA",2012,12,31,64021458.7995931,25826313.3265514,5262962.36012208,5165287.89420142,7835865.71719227,2933.87589013225,87168256.3580875,60622173.2484076,"Argentina","Real Estate",38195145.4730417,7838799.5930824,1,171174818.005808,65128247.3268247,0.0793094871458942,0.396545498867036,17.9201712793045,17.9747288788692,0.0721910486793066,0.0831201365757885,1.36154748724097,0,1,0.0793094871458942,0.396545498867036,0.122440190212164,0.930812293231156
"CAPU.BA",2013,12,31,59823917.4466779,20852487.340801,3745430.41276661,3811764.61562068,2510124.29031763,134782.875556238,86930894.5833973,21461282.1446467,"Argentina","Real Estate",38971430.1058769,2644907.16587387,1,60622173.2484076,64021458.7995931,0.0595388591121092,0.325710905871041,16.8817610391718,17.9069160962616,0.0564547627520885,0.0129884274917387,1.45311270631651,0,1,0.0595388591121092,0.325710905871041,0.0442115340947259,0.335220136295662
"CAPX.BA",2004,4,30,431429427.312775,122198414.096916,-749251.101321586,3688105.72687225,256555066.079295,28308017.6211454,80289691.6299559,79939040.5018524,"Argentina","Energy",309231013.215859,284863083.70044,1,98126182.238193,437940780.141844,0.00842147133609644,0.279029539238929,18.1967749084465,19.8826145031135,0.0330661617037077,0.128782482244726,0.186101565046345,0,0,0,0,0.660277360945808,0.182533904415024
"CAPX.BA",2005,4,30,448359759.243336,102222184.006879,-17034221.8400688,3966638.00515907,272066723.989682,27248495.2708512,98063284.6087704,98989353.5493674,"Argentina","Energy",346137575.236457,299315219.260533,1,79939040.5018524,431429427.312775,0.00919417581194192,0.236938367054806,18.4105228624107,19.9211065021453,-0.0863852251840045,-0.264378858166037,0.218715624199336,0,0,0,0,0.667578240664741,0.229445066290304
