"","cod","ano","at","pl","ll","ebit","deb_cp","deb_lp","rec","vm","setor","pat","debt","dif_ano","l_vm","l_at","ebit_at","pl_at","log_vm","log_at","var_rec","risk","effi","crise","ifrs","ebit_ifrs","pl_ifrs","div_at"
"21","ABEV3.SA",2019,101742944000,61278025000,11779965000,16380585000,653149000,697754000,52005120000,293745850645.63,"Consumer Non-Cyclicals",40464919000,1350903000,1,241806625643.18,95714417000,0.171140205555449,0.640217293492996,26.4059807768433,25.3457153124272,0.0809108549915122,0.2138466286087,0.511142276362673,0,1,0.171140205555449,0.640217293492996,0.0132776087155489
"22","ABEV3.SA",2020,125196579000,73815628000,11379394000,16376276000,2738773000,338393000,58378995000,246254596152.25,"Consumer Non-Cyclicals",51380951000,3077166000,1,293745850645.63,101742944000,0.160957363293911,0.725511029049838,26.2296317814021,25.5531509709579,0.105892034555345,-0.153472243059922,0.466298643831155,0,1,0.160957363293911,0.725511029049838,0.0245786747895084
"23","ABEV3.SA",2021,138602483000,82643031000,12670968000,17878048000,847118000,267137000,72854344000,242779452445.98,"Consumer Non-Cyclicals",55959452000,1114255000,1,246254596152.25,125196579000,0.142799812445354,0.66010614395462,26.2154192650629,25.6548758384047,-0.131587837512946,-0.0845917736443876,0.52563520092205,0,1,0.142799812445354,0.66010614395462,0.00803921384294392
"24","ABEV3.SA",2022,137958083000,81955633000,14457943000,19262301000,982569000,454356000,79708827000,228693148676.52,"Consumer Non-Cyclicals",56002450000,1436925000,1,242779452445.98,138602483000,0.138975150971862,0.591299890349006,26.1556469798374,25.6502157295865,-0.0895665916999076,-0.0432191037671155,0.57777569292551,0,1,0.138975150971862,0.591299890349006,0.0104156637201171
"25","AERI3.SA",2021,2805671000,999592000,69193000,207893000,91688000,1367056000,2486150000,5018698136.8,"Energy",1806079000,1458744000,1,7662134559.99996,2370629000,0.0876952909966089,0.421656868282637,22.336436401718,21.7549085629998,0.0396882859104754,0.413910577670711,0.886116012889608,0,1,0.0876952909966089,0.421656868282637,0.519926962213317
"26","AERI3.SA",2022,4371157000,857585000,-119992000,181263000,259160000,1557566000,2911749000,865821205.279997,"Energy",3513572000,1816726000,1,5018698136.8,2805671000,0.0646059356211045,0.305661283878259,20.5791889847951,22.1982935707366,-0.18581937271177,-0.865630195436165,0.666127755191589,0,1,0.0646059356211045,0.305661283878259,0.415616734882778
"27","AESB3.SA",2007,17763677000,3346054000,481843000,1272826000,220243000,3758127000,7976521000,6955405592,"Utilities",14417623000,3978370000,1,5923213546.99998,17349510000,0.0733638010525946,0.192861585139869,22.6627849772282,23.6004215913693,-0.831943141001368,-0.0208039665595106,0.449035467150185,0,0,0,0,0.223960951327813
"28","AESB3.SA",2008,18206077000,3464059000,1628932000,2443112000,278445000,3606892000,8365649000,5254844276.39,"Utilities",14742018000,3885337000,1,6955405592,17763677000,0.137534137780145,0.195007992996045,22.3824162074186,23.6250212763955,0.0197739658450777,-0.133579831705857,0.45949761719672,1,0,0,0,0.21340879751305
"29","AESB3.SA",2009,17624097000,4435238000,619356000,2151596000,878906000,3378328000,8948979000,7072178469.19998,"Utilities",13188859000,4257234000,1,5254844276.39,18206077000,0.118180099974311,0.243613052938313,22.6794343979927,23.5925329502897,0.0244074467114872,0.121856515568145,0.5077695044461,1,0,0,0,0.241557567460052
"30","AESB3.SA",2010,17500232000,4171798000,674338000,2692624000,353807000,4108197000,9809511000,8656430804.49999,"Utilities",13328434000,4462004000,1,7072178469.19998,17624097000,0.15278082048686,0.236709886469644,22.8815683272783,23.5854799749309,-0.0808183495798333,-0.0260999715311535,0.560536054607733,0,1,0.15278082048686,0.236709886469644,0.254968276991985
